id,offer_id,creation_date,address1,postal_code1,address2,postal_code2,price,distance,transport_type,route_type
200,17591,2025-09-12,"PL 31-983 Kraków, Dip ul. Cementowa 5","PL 31-983","PL 41-909 Bytom, ul. Szyby Rycerskie 1, Kontakt: 510-260-880","PL 41-909",350.00,113.07,Bus,Krajowy
201,17587,2025-09-12,"ICE-Trade Production  Ul. Piaskowa 19, 14-200 Iława","PL 14-200","Huta Stalowa Wola ul. Gen. T. Kasprzyckiego 8, 37-450 Stalowa Wola","PL 37-450",500.00,540.89,Bus,Krajowy
202,17584,2025-09-12,"JYSK Syców, Smart Park, Kolejowa 20B, 56-500 Syców","PL 56-500","ul. Jelenia 92, 83-123 Piaseczno","PL 83-123",1000.00,,Bus,Krajowy
203,17583,2025-09-12,"DABROwent, Aleksandra Krzywca 9, 85-862 Bydgoszcz","PL 85-004","WENTIK Sp. z o.o. Toruńska 85, 86-050 Solec Kujawski","PL 57-300",1100.00,400.55,Bus,Krajowy
204,17580,2025-09-12,"7SUN 41-253 Czeladź, ul. Wiejska 49 (budynek nr 3)","PL 40-002","""Kartoffel Stahl Herr Jochen Stahl Lise-Meitner-Weg 1 74382 Neckarwestheim""","DE 74382",3623.21,925.66,Naczepa,Eksport
205,17574,2025-09-12,"PL 59-160 Radwanice, Park Miejski, tel. 506 568 985","PL 59-160","PL 61-357 Poznań, Dip ul. Sarbinowska 2, tel. 790 273 227","PL 61-357",400.00,206.07,Bus,Krajowy
206,17573,2025-09-12,"""Ogrodowa 2 Wola Mrokowska kontakt na zaladunek  +48 579 169 263  Jacek""","PL 05-090","DE 61169 Friedberg (Hessen)DZF International GmbH E-Commerce - B359 Tor 3， Georgenhäuser Str. 164409 Hessen ：Messel ：Germany ：015771036399","DE 61169",4899.46,,Naczepa,Eksport
207,17570,2025-09-12,"Galbet Boleszyn 76, 13-324 Grodziczno","PL 13-324","ul. Dworcowa 34, 64-840 Budzyń tel.669 672 512","PL 64-840",1500.00,263.38,Naczepa,Krajowy
208,17569,2025-09-12,"PL 31-983 Kraków, Dip ul. Cementowa 5, kontakt: tel. 790 273 228","PL 31-983","PL 47-100 Strzelce Opolskie, ul. Azaliowa, Kontakt:  Tomek  662-954-177/722-273-267","PL 47-100",600.00,171.53,Bus,Krajowy
209,17567,2025-09-11,"Final S.A. ul. Koksownicza 9, 42-523 Dąbrowa Górnicza",42-523,"CZ, 789 53 Mohelnice ( Szczegóły w dokumencie przewozowym )","CZ, 78953",4047.38,,Naczepa,Eksport
210,17564,2025-09-11,"PL 34-382 Wieprz,  ul.Przemysłowa,  Kontakt: 609479500","PL 34-382","PL 31-983 Kraków, Dip, ul. Cementowa 5, Kontakt: Artur 722273267","PL 31-983",600.00,104.37,Solówka,Krajowy
211,17563,2025-09-11,"INVICTA ul. Parkowa 23D, 86-300 Grudziądz","PL 86-300","HYDROMEL ul Wyzwolenia 14, 41-103 Siemianowice Śląskie","PL 41-103",1850.00,408.96,Naczepa,Krajowy
212,17561,2025-09-11,"Unieck 61, 09-136 Unieck",09-136,"PKZ CERAMIKA, 26-800 Białobrzegi ul. Kościelna 108",26-800,700.00,180.43,Naczepa,Krajowy
213,17560,2025-09-11,"TERG S.A. ul. Za Dworcem 1D, 77-400 Złotów","PL 77-400","FLT Grupa ul. Wrocławska 1W, 51-361 Wilczyce","PL 51-361",1600.00,314.55,Naczepa,Krajowy
214,17557,2025-09-11,"""Super-Duo GmbH Clausenstrasse 39C/Halle 10 Zufahrt über Schwesterstrasse 42285 Wuppertal 015202951367 Bo Dong 9:00--17:00""","DE 42285","OPMET BEST SRL Str. Negoiu Nr. 1,Fagaras 505200 Romania Marius Lupu ‪+40742240858",RO505200,5538.52,1819.26,Naczepa,Kabotaż
215,17556,2025-09-11,"""Super-Duo GmbH Clausenstrasse 39C/Halle 10 Zufahrt über Schwesterstrasse 42285 Wuppertal 015202951367 Bo Dong 9:00--17:00""","DE 42285","OPMET BEST SRL Str. Negoiu Nr. 1,Fagaras 505200 Romania Marius Lupu ‪+40742240858",RO505200,4473.42,1819.26,Naczepa,Kabotaż
216,17554,2025-09-11,"ESE ul. Łazy 20, brama 24, 43-170 Łaziska Górne","PL 43-170","Szkoła Podstawowa im. J. Wieczorka, DK7 6, 09-142 Szczytno tel.513 154 650","PL 09-142",400.00,393.56,Bus,Krajowy
217,17553,2025-09-11,"PL 31-983 Kraków, Dip, ul. Cementowa 5,  Kontakt Artur, tel. 722273267","PL 31-983","PL 43-518 Ligota, Wapienicka(przy boisku),  Kontakt: Grzegorz, tel. 535880271","PL 43-518",350.00,137.95,Bus,Krajowy
218,17551,2025-09-11,"Dabrowent, Aleksandra Krzywca 9, 85-862 Bydgoszcz","PL 85-004","PL 66-200 Świebodzin ( Szczegóły w dokumencie )","PL 66-200",1100.00,239.98,Solówka,Krajowy
219,17549,2025-09-11,"Ferro Wings Sp. z o. o. - Magazyn Ul. Osadnicza 35 65-785 Zielona Góra","PL 65-001","Szkoła Podstawowa w Radowie Małym DW147 33, 72-314 Radowo Małe","PL 72-314",1550.00,,Solówka,Krajowy
220,17546,2025-09-11,"Peikko Slovakia Kráľová nad Váhom 660, 925 91 Kráľová nad Váhom, Słowacja","SK 92591","ul. Biznesowa 9,  35-213 Rzeszów, Tel: 661 393 784","PL 35-001",639.06,565.06,Bus,Import
221,17544,2025-09-11,"Cezar Palety, Szczytno 12-100 z ul. Ostrołęckiej 1","PL 12-100","EKONIP, Magazyn FIEGE III ul. Wiejska 2 96-320 Mszczonów","PL 96-320",1200.00,239.25,Naczepa,Krajowy
222,17542,2025-09-11,"PL 63-940 Bojanowo, KK Service, Golina Wielka 18 B","PL 63-940","PL 58-160 Świebodzice, Ciernie 131G, tel. 600 397 232  Grzegorz Szmidla","PL 58-160",500.00,152.03,Bus,Krajowy
223,17540,2025-09-11,"DTA Magazyn - Gdańsk  Adres: Kontenerowa 21, 80-601 Gdańsk",80-601,"Frankfurt nad Odrą/Słubice adres dośle",DE,5500.00,,Naczepa,Krajowy
224,17539,2025-09-11,"FINAL, MAGAZYN 3, ul. Lubliniecka 35, 42-284 Herby","PL 42-284","PL, 42-400 Zawiercie ( Szczegóły w dokumencie )","PL 25-002",950.00,153.89,Solówka,Krajowy
225,17537,2025-09-11,"PL 05-506 Wilcza Góra, Logiss ul. Żwirowa 18","PL 05-506","PL 00-992 Warszawa, Kimlog ul. Jagiellońska 88, hala 30","PL 00-992",550.00,36.75,Naczepa,Krajowy
226,17535,2025-09-11,"Magazyn Lidla Przemysłowa 2, 62-080 Jankowice (brama 9)","PL 62-080","LIDL ul. Radzymińska 116, 03‑574 Warszawa","PL 03-574",2000.00,344.85,Naczepa,Krajowy
227,17534,2025-09-11,"TERG S.A. ul. Za Dworcem 1D, 77-400 Złotów","PL 77-400","FLT Grupa ul. Wrocławska 1W, 51-361 Wilczyce","PL 51-361",1300.00,314.55,Solówka,Krajowy
228,17531,2025-09-11,"Fabryka Substratu, Przy Tamie, 55-081 Mietków","PL 55-081","ul. Księdza Ludwika Bojarskiego, 41-503 Chorzów","PL 41-500",1000.00,210.95,Naczepa,Krajowy
229,17527,2025-09-10,"""Odin Warehousing & Logistics B.V.  Sjelikowstraat 9 GPS: 51.932515, 4.025370 3199 KT Maasvlakte""","NL 3199","""Solarcomplex AG Veit in Breiten 6 78589 Dürbheim Germany""","DE 78589",6168.30,,Naczepa,Kabotaż
230,17526,2025-09-10,"Dabrowent, Aleksandra Krzywca 9, 85-862 Bydgoszcz",85-862,"97-400 Bełchatów  Ul. Stanisława Staszica 20, Michał Rebzda, tel : 501690405",97-400,1250.00,269.88,Naczepa,Krajowy
231,17524,2025-09-10,"Galbet Boleszyn 76, 13-324 Grodziczno","PL 13-324","ul. Dworcowa 34, 64-840 Budzyń tel.669 672 512","PL 64-840",1500.00,263.38,Naczepa,Krajowy
232,17522,2025-09-10,"Prodoo ul. Wodociągowa 1a, 46-022 Zawada","PL 46-022","KM Okno Borowa 171, 39-215","PL 39-215",900.00,325.83,Solówka,Krajowy
233,17521,2025-09-10,"SMĘTEK, Barska 12, 87-800 Włocławek",87-800,"Piotrków Trybunalski ( Szczegóły w dok. transportowych )",64-514,2000.00,231.75,Naczepa,Krajowy
234,17518,2025-09-10,"KA-NE FAKTORIA PUDEŁKA, 98-100 Łask, Orchów 178","PL 98-100","OATBE, Pozowice 25, 32-051 Wielkie Drogi","PL 32-051",500.00,,Bus,Krajowy
235,17516,2025-09-10,"Inter-Box, ul. Warszawska 89, 26-660 Jedlińsk",26-660,"05-660 Warka ( szczegóły w dokumencie przewozowym )",05-660,600.00,46.90,Naczepa,Krajowy
236,17514,2025-09-10,"Thermal-Tech Sp. z o.o.   42-271 Częstochowa, ulica Ekonomiczna 5","PL 42-271","PEC Suwałki ,Przemysłowa 4, 16-400 Suwałki","PL 16-400",1600.00,532.97,Bus,Krajowy
237,17513,2025-09-10,"Stark, Grodziska 22, 05-830 Stara Wieś",05-830,"Morawica 32-084, ""U Jędrusia""",32-084,1250.00,293.58,Naczepa,Krajowy
238,17512,2025-09-10,"""Toys for Fun GmbH  Lise-Meitner-Str. 8,22941 Bargteheide ""","DE 22941","Inwestycyjna 1, 55-040 Magnice (SHEIN Warehouse PNT-B)","PL 55-040",1488.90,,Bus,Import
239,17511,2025-09-10,"""Toys for Fun GmbH  Lise-Meitner-Str. 8,22941 Bargteheide ""","DE 22941","Inwestycyjna 1, 55-040 Magnice (SHEIN Warehouse PNT-B)","PL 55-040",1488.90,,Bus,Import
240,17510,2025-09-10,"RF MAH Sp. z o.o. Prawików 3, 56-100 Wołów",56-100,"Mondelez Norge Production AS ,Johan Throne Holsts plass 1,P.O. Box 6658 Rodeløkka, NO-0566 Oslo, Norge","NO 0566",1276.20,,Bus,Krajowy
241,17506,2025-09-10,"Keltec-PL  Ul. Komunalna 4  37-403 Pysznica","PL 37-403","PLAC SKŁADOWY ROMGOS  87-162 Mierzynek  Ul. Leśna aleja 1","PL 87-162",1900.00,525.39,Solówka,Krajowy
242,17505,2025-09-10,"HIH Logistics  Lelyweg 25, 4612 RB Bergen op Zoom GPS: 51.5085590,4.2701710 Please let the drivers find Poort 7. Opening hours:  8:00-16:00","NL 4264","""Sat Dragomiresti Deal, Comuna , Dragomiresti Vale, Strada Padurii nr. 26, CT PARK Bucharest, Cladirea Buch 14, unit C7, 077096, ILFOV   SORIN VORINDAN  ‪+40 727 257 287‬""","RO 077096",12123.90,,Naczepa,Kabotaż
243,17501,2025-09-10,"ZIDA Lotnicza 6 PL, 80-297 Miszewo","PL 80-297","TADEUSZ KOBUS ""ELEKTA"" USŁUGI-HANDEL Adres 1 Maja PL, 11-300 Biskupiec","PL 11-300",1500.00,243.35,Naczepa,Krajowy
